,metal,disco,classical,hiphop,jazz,country,pop,blues,reggae,rock
005. Queen - The Show Must Go On (Remastered 2011).mp3,0.02139438382130864,0.05378155851442563,0.010877817925996536,0.00598836663036644,0.04385200380286398,0.23078665182631658,0.1997541190174065,0.02361981891398931,0.02277953836968855,0.38716574326941844
006. Red Hot Chili Peppers - Californication.mp3,0.0026594670472751374,0.009399283262945047,4.6532868648365914e-10,0.007707497682489654,0.02230345430858524,0.23791269330601944,0.05974290436317556,0.3795384652912617,0.04642924058536162,0.23430699650443307
063. Nickelback - If Everyone Cared.mp3,0.21360027363009162,0.015205673482004044,0.02587048061767332,0.00196478902781612,0.0012389097774363478,0.2625537762537294,0.01815359142768246,0.001971843460344683,0.0018687501979110714,0.4575718992242688
064. Panic! At The Disco, Rob Mathes - High Hopes.mp3,0.007165010413625302,0.05953972829497376,0.04844710837364892,0.00933933156475357,0.007476003100467032,0.058988937945722734,0.655870826541152,0.005364464156484669,0.053840961420638975,0.09396764625634994
068. Skillet - Awake and Alive.mp3,0.07903559158752106,0.00595773491213215,2.3062987346743628e-10,0.0026316303427236704,0.0017461223037753004,0.18339019592981218,0.49073093582563543,0.05319542581702009,0.0035102852541893485,0.17980209883090106
079. DISTURBED - Inside The Fire.mp3,0.8841895868903712,0.0011850289767344772,2.8170653305776865e-12,0.07140556236385907,9.113458982073172e-06,6.43275348754933e-06,0.010944439565144804,4.45273399563602e-06,0.00021307154381133842,0.03204231924916569
080. Kansas - Dust in the Wind.mp3,0.016076834635704904,0.020516134823035253,0.002732060448342899,0.001551549248784125,0.09285716104405813,0.3533397658090842,0.06319057389995769,0.13504801791063265,0.0061924332354273675,0.3084954505688266
081. Sum 41 - Pieces.mp3,0.07790664667414927,0.010311925083633947,0.37322870267075814,0.0027433423838494108,0.1059176428414796,0.08851430248652928,0.01791354729548881,0.005353033752702399,0.002669671532298947,0.3154411841686325
97. Linkin Park - Numb.mp3,0.19102573920707455,0.04017510066858832,0.005517051035123283,0.0047699104045597395,0.031203540538510908,0.12778010305957746,0.35456190983715813,0.0013841339707976069,0.03412282022538037,0.20945969057318412
Lordi - Hard Rock Hallelujah (ê?ê?ë?ê?ê?êÒê?ê?ê?êÒê? 2006 ê˝êÒê?ê?ë?ê?ê?êÒë?).mp3,0.7029546750219244,0.004903836750791494,1.9482803462399633e-06,0.003072930875867697,2.7040546802312235e-06,0.0010425065007845995,0.034970289704353105,1.0803095981571395e-05,0.00013329212035198692,0.2529070152852096
